failure,smart_1_raw,smart_5_raw,smart_9_raw,smart_194_raw,smart_197_raw
0,0,0,4247,25,0
0,0,2,4310,24,0
0,0,0,3809,26,0
0,0,0,2549,24,0
0,0,0,2952,27,0
0,65537,0,8933,24,0
0,58370224,0,4594,24,0
0,156184088,0,6513,28,8
0,224878903,0,24954,23,0
0,17152784,0,7700,25,0
0,141592875,0,1494,23,0
0,0,0,17042,31,0
0,141492736,0,10517,26,8
0,203316272,0,6706,20,0
0,126006932,0,28660,16,0
0,0,0,19880,32,0
0,0,0,17921,22,0
0,0,0,4335,30,0
0,0,0,18557,30,0
0,0,0,985,26,0
0,193132874,2,27208,27,0
0,0,0,13292,23,0
0,0,0,271,30,0
0,66868752,0,9072,19,0
0,0,0,417,22,0
0,133651912,0,7687,22,0
0,133846840,0,6519,25,0
0,0,0,271,29,0
0,0,67,12659,29,0
0,200386321,0,31483,20,0
0,146059952,0,2527,31,0
0,0,0,1733,25,0
0,159344739,35,31397,22,0
0,51464614,0,30087,19,0
0,0,0,2479,27,0
0,0,0,962,25,0
0,0,0,22494,25,0
0,0,0,18165,33,0
0,0,0,14164,30,0
0,18446424,0,6888,24,0
0,205956868,30,26575,32,0
0,0,0,21199,33,0
0,58969440,0,6761,23,0
0,239857592,143,11581,29,1
0,76474936,0,8220,23,0
0,20161344,0,9602,31,0
0,0,0,17039,26,0
0,0,0,1788,25,0
0,69516728,0,6026,27,0
0,37045624,0,9585,22,0
0,0,0,15802,30,0
0,0,0,8961,28,0
0,0,0,4247,29,0
0,0,0,3481,23,0
0,0,0,2094,29,0
0,190226712,0,2526,29,0
0,32019040,0,8247,25,0
0,65538,0,17921,22,0
0,1,0,17854,22,0
0,65536,0,20344,24,0
0,93612816,0,6761,22,0
0,0,0,8651,29,0
0,50578256,0,5283,24,0
0,143038040,0,6366,26,0
0,136665016,0,8159,24,0
0,0,0,18172,31,0
0,126709748,0,30756,20,0
0,120188558,0,12689,27,0
0,0,0,24595,25,0
0,0,45,12407,27,0
0,216602726,0,29988,24,0
0,0,0,4932,26,0
0,0,0,14099,26,0
0,135735712,0,2984,22,0
0,57942864,0,8569,25,0
0,0,0,983,29,0
0,80144240,0,7354,22,0
0,0,0,22212,28,0
0,25268566,0,27672,20,0
0,223459331,0,27736,27,0
0,0,0,3481,23,0
0,0,0,15798,29,0
0,1,0,17466,24,0
0,0,0,16352,28,0
0,165302504,0,10541,24,0
0,0,0,22076,27,0
0,0,0,962,25,0
0,63676449,0,2842,18,0
0,237200152,0,8132,26,0
0,199208944,0,1714,26,0
0,0,0,1750,28,0
0,0,0,16595,24,0
0,125268560,0,8161,27,0
0,131076,0,21504,25,0
0,209533118,0,26081,24,0
0,0,0,297,27,0
0,0,0,8941,23,0
0,0,0,18172,28,0
0,224125720,0,2182,26,0
0,0,0,3823,24,0
0,0,0,13262,26,0
0,0,0,8671,31,0
0,0,0,23993,25,0
0,1,0,14125,27,0
0,0,0,3218,27,0
0,76147600,0,5282,21,0
0,0,0,984,30,0
0,0,0,14842,23,0
0,18847264,0,9071,23,0
0,65536,0,10418,28,0
0,0,0,3477,25,0
0,0,0,12407,22,0
