failure,smart_1_raw,smart_5_raw,smart_9_raw,smart_194_raw,smart_197_raw
1,0,1905,3118,26,93
1,0,1894,2501,25,90
1,0,855,8623,32,1
0,0,668,12611,29,3
1,0,633,14801,29,0
1,58786436,631,8623,29,11
0,17836200,0,4546,24,0
1,145239288,0,6465,27,8
0,227925287,0,24906,23,0
0,166942376,0,7652,28,0
0,121996492,0,1446,23,0
1,65536,0,16994,31,0
1,139076152,0,10469,29,8
1,80239728,0,6658,20,0
0,133664389,0,28612,16,0
0,0,0,19832,32,0
0,0,0,17873,22,0
0,0,589,2962,30,0
0,0,0,18509,30,0
0,0,0,937,26,0
0,213788933,2,27160,28,0
0,0,416,14801,29,0
1,0,0,223,30,0
0,32131344,0,9023,20,0
0,0,0,369,23,0
0,89019848,0,7639,23,0
0,89571464,0,6471,24,0
0,0,0,222,29,0
1,752889326,376,13618,30,0
1,167617023,0,31435,20,0
0,146791016,0,2479,31,0
0,0,0,1685,26,0
1,217996629,32,31349,22,0
1,195230299,0,30039,19,0
0,0,361,14804,29,0
1,0,0,914,25,0
1,0,0,22446,25,0
1,0,0,18117,33,0
0,0,0,14117,31,0
1,90795792,0,6840,25,0
1,77199267,30,26527,32,0
0,0,0,21151,33,0
0,126057088,0,6713,24,0
1,13252345,111,11533,28,0
1,90491336,0,8178,25,0
0,239307400,0,9555,31,0
0,1,0,16991,26,0
0,0,0,1740,25,0
1,194677776,0,5978,26,0
0,112407928,0,9537,22,0
1,0,0,15754,29,0
0,65540,337,13244,23,2
1,65536,311,14076,27,0
0,0,301,13244,24,0
1,0,0,2046,29,0
1,9439328,0,2478,29,0
0,165291928,0,8205,25,0
1,65536,0,17873,23,0
0,0,0,17806,22,0
1,0,0,20296,24,0
0,153464552,0,6713,24,0
1,0,269,8975,24,0
0,48224936,0,5235,24,0
1,83394744,0,6317,27,0
0,10903296,0,8111,24,0
1,0,0,18124,31,0
1,91806489,0,30708,20,0
0,209357964,0,12641,30,0
0,0,0,24547,25,0
1,0,214,2385,31,0
1,88244131,0,29940,24,0
1,0,0,4884,26,0
1,0,200,13877,24,0
1,9585232,0,2936,23,0
1,150762592,0,8527,23,0
1,0,0,935,30,0
0,54541213,0,7306,22,0
1,0,0,22164,27,0
1,216118686,0,27624,19,0
0,178469019,0,27688,28,0
1,0,156,13614,32,0
1,0,0,15750,28,0
1,1,0,17418,24,0
1,1,0,16304,28,0
0,20524280,0,10493,24,0
0,0,0,22034,22,0
1,0,0,914,27,0
1,44654167,0,2794,19,0
1,237732456,0,8090,31,0
0,69736936,0,1666,26,0
0,0,0,1702,28,0
1,0,0,16547,24,0
0,90954456,0,8113,23,0
1,65537,0,21456,25,0
1,193856816,0,26033,24,0
0,0,0,249,27,0
0,0,154,14067,25,0
0,0,0,18124,28,0
1,232944320,0,2134,27,0
0,0,135,3761,28,0
0,0,123,2501,26,0
0,0,121,8976,21,0
0,0,0,23945,24,0
1,196610,119,14772,23,0
0,0,98,14105,25,0
1,72542304,0,5234,21,0
0,0,0,936,30,0
1,0,91,13619,30,0
1,109724832,0,9023,24,0
0,0,0,10370,28,0
1,0,86,13665,27,0
0,36045324,75,12356,23,0
1,107467835,505,33234,30,0
1,0,72,13666,30,0
0,65536,72,12701,29,0
1,0,67,12611,30,0
0,0,61,8977,25,0
0,0,0,21830,31,0
1,30445154,0,1518,23,0
1,2,2,23959,23,0
1,0,0,2906,31,0
1,0,0,34657,30,0
0,0,0,247,24,0
0,65537,0,18759,25,0
0,131074,58,13665,30,0
1,156978480,0,7169,28,0
0,1,0,18597,22,0
0,158284632,0,8065,29,0
1,62489424,0,9022,27,0
1,92140536,0,6910,22,0
0,0,53,14801,30,0
0,2490625,117,17870,26,3
0,25218016,0,5012,26,0
0,116822657,0,30676,20,0
0,184020456,0,6691,26,0
0,1572864,48,8978,28,0
0,185909776,0,6709,26,0
0,0,47,8866,28,0
0,163519040,0,9005,28,0
0,82065032,0,1307,24,0
1,6160454,0,34871,28,0
1,0,45,12359,27,0
1,0,0,1761,24,0
1,0,0,935,28,0
0,0,0,18754,23,0
0,0,0,1761,26,0
0,8454155,44,14052,28,0
0,79054616,0,5900,26,0
0,0,0,18243,30,0
0,185420622,0,25998,17,0
1,156613416,0,3178,26,0
0,0,0,21054,28,0
1,17532928,0,9002,28,0
0,0,0,17418,28,0
0,0,44,4060,27,0
0,0,0,21462,23,0
1,0,0,19826,31,0
